Year,Month,Day,Hour,Minute,Second,Millisecond,Instance,DomainInstance,Engine Coolant Temperature (degC), Engine Total Hours Of Operation(hours), Engine Speed(RPM), Engine Oil Pressure(kPa),Battery Power Input(V), Generator Average LineToLine AC RMS Voltage(V), Generator Average AC Frequency(Hz),timeStamp
2018,02,09,01,14,55,848,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.496128082275391000000,1518138895
2018,02,09,01,14,56,861,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.496128082275391000000,1518138896
2018,02,09,01,14,57,875,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138897
2018,02,09,01,14,58,889,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,488.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138898
2018,02,09,01,14,59,904,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138899
2018,02,09,01,15,00,918,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,468.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.394573211669922000000,1518138900
2018,02,09,01,15,01,932,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138901
2018,02,09,01,15,02,946,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138902
2018,02,09,01,15,03,960,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138903
2018,02,09,01,15,04,973,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.394573211669922000000,1518138904
2018,02,09,01,15,05,987,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.394573211669922000000,1518138905
2018,02,09,01,15,07,000,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,488.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138907
2018,02,09,01,15,08,015,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138908
2018,02,09,01,15,09,030,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,468.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138909
2018,02,09,01,15,10,044,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138910
2018,02,09,01,15,11,058,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138911
2018,02,09,01,15,12,072,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.496128082275391000000,1518138912
2018,02,09,01,15,13,086,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138913
2018,02,09,01,15,14,099,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.100000381469727000000,237.000000000000000000000,60.394573211669922000000,1518138914
2018,02,09,01,15,15,115,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,488.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138915
2018,02,09,01,15,16,127,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138916
2018,02,09,01,15,17,142,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,468.000000000000000000000,28.200000762939453000000,238.000000000000000000000,60.394573211669922000000,1518138917
2018,02,09,01,15,18,156,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138918
2018,02,09,01,15,19,169,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.200000762939453000000,234.000000000000000000000,60.394573211669922000000,1518138919
2018,02,09,01,15,20,183,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.496128082275391000000,1518138920
2018,02,09,01,15,21,198,37,1,82.000000000000000000000,560.799999999999950000000,1815.000000000000000000000,472.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.496128082275391000000,1518138921
2018,02,09,01,15,22,212,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.100000381469727000000,237.000000000000000000000,60.496128082275391000000,1518138922
2018,02,09,01,15,23,225,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,480.000000000000000000000,28.100000381469727000000,237.000000000000000000000,60.394573211669922000000,1518138923
2018,02,09,01,15,24,240,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,233.000000000000000000000,60.394573211669922000000,1518138924
2018,02,09,01,15,25,253,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138925
2018,02,09,01,15,26,267,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,468.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138926
2018,02,09,01,15,27,282,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,468.000000000000000000000,28.200000762939453000000,237.000000000000000000000,60.394573211669922000000,1518138927
2018,02,09,01,15,28,297,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138928
2018,02,09,01,15,29,310,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,468.000000000000000000000,28.200000762939453000000,236.000000000000000000000,60.394573211669922000000,1518138929
2018,02,09,01,15,30,324,37,1,82.000000000000000000000,560.799999999999950000000,1800.000000000000000000000,472.000000000000000000000,28.200000762939453000000,235.000000000000000000000,60.394573211669922000000,1518138930
